DescricaoTaxaPerformance__c;DescricaoTributacao__c;FamiliaCarteira__c;FiltroValorMinimo__c;ProdutoId;LucroMesAnterior__c;PatrimonioLiquidoAtual__c;RentabilidadeAno__c;RentabilidadeFundoUltimos36Meses__c;RentabilidadeMes__c;RiscoAtivo__c;TipoCarteira__c
Não;Come Cotas;Renda Fixa;500.0;a0W3u00000AdOBNEA3;31.936.446;38986842.59;71.210.367;5.268.533.744;39.148.894;3.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;100.0;a0W3u00000AdOHLEA3;40.697.418;41389869.89;44.499.209;258.779.195;3.786.382;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;500.0;a0W3u00000AdOQFEA3;-26.828.912.999.999.900;15578531.09;89.940.585;0.0;368.105.587;5.0;Fundo de Ações
15% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;500.0;a0W3u00000AdOQZEA3;-337.498.145;14904596.39;-182.261.644;0.0;160.658.703;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdQ0eEAF;-156.495.143;418083867.67;-102.726.555;0.0;54.623.418;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdQ9lEAF;45.419.722;135846084.72;49.622.486;2.758.050.682;4.183.761;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdQJ2EAN;42.175.887;152665387.99;46.624.123;2.455.397.777;4.429.553;5.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;10000.0;a0W3u00000AdQJMEA3;26.278.475;14327774.88;141.984.558;10.629.813.768;115.402.821;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdQRBEA3;-5.608.895;10770312.82;3.270.856;1.953.290.233;8.884.734;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;50000.0;a0W3u00000AdQV8EAN;7.027.895;21384700.84;30.218.490.000.000.000;3.628.045.479;23.174.308;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdQjjEAF;-66.912.311;105037317.44;1.663.515;0.0;84.110.263;4.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000AdRD5EAN;105.904.542;30943981.03;132.447.923;0.0;26.265.221;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdRDeEAN;65.164.168;295125193.18;69.733.749;0.0;4.539.997;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000AdRWlEAN;61.422.028;41.395.881.663.041;37.935.164;2.739.694.226;-23.343.484;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdRXFEA3;257.534.448;139911374.04;393.068.298;0.0;132.131.021;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000AdRXZEA3;452.730.676;7.023.125.896.027;593.223.168;0.0;134.407.455;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000AdRhGEAV;-71.954.148;49274474.21;-53.045.816;0.0;19.045.371;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000AdRvnEAF;74.971.994;806809799.84;99.857.648;349.769.739;2.470.047;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000CWF90EAH;33.370.422;145.876.287.068.502;43.837.747;2.447.964.455;10.432.511;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000CWF9FEAX;26.584.824;14043550311.04;38.183.826;0.0;11.568.248;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWFE5EAP;12.147.552;114957541.83;251.726;2.966.657.109;13.009.246;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;10000.0;a0W3u00000CWFEZEA5;89.303.068;141830945.75;212.729.256;10.620.074.019;122.333.711;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWFEyEAP;117.887.131;16169422.83;91.897.161;0.0;-25.687.152;4.0;Fundo Multimercado
20% do que excede 100% do IPCA + 6%aa;15%;Renda Variável;20000.0;a0W3u00000CWH7VEAX;206.624.722;151545565.93;325.780.325;0.0;116.743.396;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;2000.0;a0W3u00000CWH7aEAH;-21.450.279;87225895.29;-58.391.714;0.0;-37.020.846;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000CWHITEA5;42.088.944;67177092.21;354.202.357;12.411.185.066;310.805.266;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000CWHIYEA5;85.082.421;26878142.0;136.774.535;3.531.427.894;51.256.016;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000CWHQ8EAP;-174.246.102;164013180.39;-46.598.212;17.665.410.595;129.911.548;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000CWIIbEAP;-131.940.554;110422646.52;-133.738.092;2.944.404.874;-1.821.572;3.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;5000.0;a0W3u00000CWJdfEAH;-44.796.273;19178577.14;-156.002.414;2.314.595.111;-111.706.544;5.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;20000.0;a0W3u00000CWKCQEA5;13.949.486;539554.27;40.320.818;3.397.755.403;26.334.597;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IDV;15%;Renda Variável;5000.0;a0W3u00000CWKIdEAP;-18.148.335.999.999.900;13888983.66;-58.034.984;0.0;125.730.169;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000CWKKUEA5;85.523.709;14297374.66;265.511.857;0.0;178.461.875;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W3u00000CWKMLEA5;74.027.081;13947996.89;96.313.749;0.0;22.122.898;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000CWKgLEAX;91.268.734;12477599.54;352.386.213;0.0;258.755.847;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000CWKhTEAX;29.805.794;10942914.61;74.146.834;0.0;44.209.271;4.0;FIC de Fundo Multimercado
Não;Come Cotas;Renda Fixa;30.0;a0W3u00000CWKkhEAH;36.106.783;6607124.85;39.157.487;0.0;3.039.729;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do SMLL;15%;Renda Variável;5000.0;a0W3u00000CWKlzEAH;77.876.824;12646423.17;363.840.654;0.0;283.754.043;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;20000.0;a0W3u00000CWMTgEAP;-58.345.329;1216520632.84;39.266.569;8.912.418.963;9.818.476;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000CWNtcEAH;34.149.364;259970432.88;3.336.872;2.648.690.935;-777.987;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBRX-50;15%;Renda Variável;1000.0;a0W3u00000CWNtmEAH;-1.208.798;38306194.43;152.599.811;0.0;153.827.203;5.0;Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;Come Cotas;Renda Fixa;20000.0;a0W3u00000CWOGlEAP;301.814.812;651224923.85;496.825.015;7.534.782.634;18.929.694;5.0;FIC de Fundo Multimercado
Não;15%;Renda Variável;20000.0;a0W3u00000CWOINEA5;340.764.436;320486166.96;5.842.272.900.000.000;7.721.348.166;23.543.990.000.000.000;5.0;FIC de Fundo de Ações
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWOZnEAP;349.392.305;349163049.08;357.655.394;3.068.533.368;7.984.129;3.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IPCA;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWOZsEAP;459.070.774;121725052.63;544.756.208;7.658.714.545;81.924.519;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;500.0;a0W3u00000CWOaHEAX;-25.335.865;49884117.44;40.726.329;213.035.793;66.229.993;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;500.0;a0W3u00000CWOaMEAX;706.956;111434892.54;250.131.734;9.648.695.965;249.407.146;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IMA-GERAL;Come Cotas;Renda Fixa;500.0;a0W3u00000CWOg9EAH;95.663.015;55071373.77;109.455.347;3.817.569.107;1.366.164;5.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;500.0;a0W3u00000CWOgJEAX;39.333.674;189019914.88;42.506.988;254.524.004;3.160.881;3.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWOgTEAX;-47.707.346;197412721.87;4.764.422;0.0;52.723.297;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBRX-100;15%;Renda Variável;5000.0;a0W3u00000CWOmHEAX;72.091.468;275271528.45;279.847.431;0.0;206.268.941;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;Come Cotas;Renda Fixa;5000.0;a0W3u00000CWOmMEAX;18.612.475;1177788401.24;310.699.175;0.0;122.298.154;4.0;FIC de Fundo Multimercado
Não;15%;Renda Variável;30000.0;a0W3u00000CWPUGEA5;297.494.854;655821712.34;520.717.701;0.0;216.773.934;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;15%;Renda Variável;5000.0;a0W3u00000CWPUVEA5;2.628.397;383929722.32;442.943.412;0.0;175.491.109;5.0;FIC de Fundo de Ações
15% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W3u00000CWQ8aEAH;343.674.891;1465815594.57;555.366.859;19.726.585.256;204.658.373;5.0;Fundo de Ações
15% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W3u00000CWQ8kEAH;423.377.022;61289764.19;510.086.655;0.0;83.187.658;5.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWQE4EAP;-41.052.675;4.513.964.679.043;23.791.672;0.0;65.111.648;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IPCA + YIELD IMA-B;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWQPnEAP;-10.753.801;29199788.61;-50.649.533;0.0;57.506.894;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W3u00000CWQPsEAP;32.880.815.056;317210377.98;32.902.914.921;0.0;5.153.789;5.0;FIC de Fundo Multimercado
20% sobre o que exceder 100% do índice IPCA + YIELD IMA-B;15%;Renda Variável;10000.0;a0W3u00000CWQQ2EAP;-1.836.681.132;111585179.39;-1.788.131.686;0.0;5.947.268;5.0;FIC de Fundo de Ações
20% sobre o que exceder 100% do índice IDIV;15%;Renda Variável;500.0;a0W3u00000CWQQMEA5;700.287.251;21221354.31;889.932.753;0.0;177.234.029;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W3u00000CWQcGEAX;777.611.849;173449559.88;-240.738.223;7.946.881.856;-240.738.223;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A000005fMbsUAE;-27.883.538;886488585.48;58.574.465;17.673.444.347;347.087.882;5.0;FIC de Fundo de Ações
Não;Come Cotas;Renda Fixa;30.0;a0W6A000008FwYQUA0;29.482.476;2391719.1;38.427.984;3.407.720.449;8.919.212;3.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W6A000009GZVHUA4;672.689.556;0.0;590.234.825;4.381.325.326;-77.257.687;4.0;FIC de Fundo Cambial
Não;Come Cotas;Renda Fixa;30.0;a0W6A000009GZdgUAG;37.292.278;251861131.21;42.399.821;0.0;5.088.567;1.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;100.0;a0W6A000009GbXIUA0;17.999.931;20396795.56;24.260.029;0.0;6.248.851;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;10000.0;a0W6A000009IJadUAG;-24.755.851;42482798.27;7.624.631;0.0;32.460.841;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;30.0;a0W6A000009IJjgUAG;36.634.856;18636675.81;42.627.543;0.0;5.970.813;3.0;FIC de Fundo de Renda Fixa
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009Ky7bUAC;117.637.545;6541966.54;112.947.192;0.0;-4.635.818;4.0;FIC de Fundo Multimercado
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;100.0;a0W6A000009KycOUAS;46.721.719;2846701.36;58.563.298;0.0;1.178.651;4.0;FIC de Fundo Multimercado
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;30.0;a0W6A000009L0FgUAK;-1.328.571;1799612.76;28.042.024;0.0;29.374.498;4.0;Fundo Multimercado
10% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009R6mvUAC;86.006.479;652820544.5;144.783.137;0.0;58.275.451;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009agwtUAA;59.634.587;0.0;86.805.228;3.074.847.556;27.009.571;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009ai38UAA;37.941.235;0.0;43.812.035;239.527.277;584.861;2.0;Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;3000.0;a0W6A000009lsp4UAA;37.811.605;3647834120.25;42.789.089;2.289.058.569;4.958.734;2.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A000009luG5UAI;39.462.440.000.000.000;39158425.6;54.144.033;2.429.718.754;14.623.884;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009luOMUAY;25.018.421;111064106.84;26.044.187;2.138.394.114;1.023.206;3.0;Fundo Multimercado
Não;15%;Renda Variável;5000.0;a0W6A000009luUVUAY;82.567.928;95687719.46;275.868.958;7.598.640.653;191.718.053;5.0;FIC de Fundo de Ações
Não;15%;Renda Variável;5000.0;a0W6A000009n2phUAA;20.317.863.000.000.000;2032557390.86;428.437.644;11.701.536.414;220.773.371;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009n349UAA;64.952.968;1437665230.19;105.215.478;377.500.277;40.002.681;4.0;Fundo Multimercado
Não;Come Cotas;Renda Fixa;1000.0;a0W6A000009n5KwUAI;60.419.293;140189006.48;66.993.121;0.0;6.534.348;4.0;FIC de Fundo de Renda Fixa
20% sobre o que exceder a 104% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A000009n5OtUAI;41.119.102;702039402.1;44.052.209;0.0;2.921.096;4.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;1000.0;a0W6A000009y4V6UAI;3.464.158;478406182.03;39.999.924;2.354.368.339;5.339.847;3.0;FIC de Fundo de Renda Fixa
Não;Come Cotas;Renda Fixa;5000.0;a0W6A000009zAsiUAE;43.029.015;589228657.69;50.446.716;2.329.063.097;738.592;3.0;Fundo de Renda Fixa
Não;15%;Renda Variável;100.0;a0W6A000009zEPVUA2;-28.166.703;15743824.63;89.192.413;11.025.030.425;117.690.612;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;1000.0;a0W6A00000A1UvkUAF;-560.237;181577960.75;44.708.672;0.0;45.271.445;5.0;Fundo Multimercado
Não;15%;Renda Variável;2500.0;a0W6A00000A1YLYUA3;20.610.206;31132979.86;520.354.681;14.390.844.873;307.906.603;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A1aGIUAZ;3.567.125;122321741.57;18.853.465;2.300.411.484;15.280.889;3.0;Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A3isbUAB;34.207.806;886542873.25;28.657.502;2.520.707.206;-5.531.382;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 108% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A3mRRUAZ;48.197.752;325410644.74;46.699.057;2.433.480.245;-1.491.507;4.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IMAB-5;Come Cotas;Renda Fixa;5000.0;a0W6A00000A3mveUAB;43.474.356;142319911.62;63.513.256;4.016.005.972;19.952.160.000.000.000;3.0;Fundo de Renda Fixa
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;1000.0;a0W6A00000A4sdBUAR;171.824.162;637377084.74;387.163.908;13.532.493.337;211.702.191;5.0;Fundo de Ações
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000A4zhSUAR;18.662.271;1847606624.72;68.841.827;3.601.762.049;50.086.084;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do CDI;Come Cotas;Renda Fixa;5000.0;a0W6A00000AAHO5UAP;20.146.562;278489625.3;42.931.066;2.774.231.754;22.738.694;4.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBOVESPA;15%;Renda Variável;5000.0;a0W6A00000AAMe0UAH;93.639.081;458157363.84;318.017.629;10.265.666.113;22.229.697.999.999.900;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + 6%;Come Cotas;Renda Fixa;5000.0;a0W6A00000AANjjUAH;151.637.855;243014868.18;346.185.938;7.911.136.438;191.642.064;5.0;FIC de Fundo Multimercado
20% sobre o que exceder a 100% do IBRX-100;15%;Renda Variável;1000.0;a0W6A00000AAQQtUAP;27.141.827;726841807.42;241.315.741;-1.447.079.806;21.359.418;5.0;FIC de Fundo de Ações
15% sobre o que exceder a 100% do IPCA + 6%;15%;Renda Variável;1000.0;a0W6A00000AAQilUAH;62.507.006;600474726.36;262.845.325;13.129.830.619;199.093.843;5.0;FIC de Fundo de Ações
20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B;Come Cotas;Renda Fixa;5000.0;a0W6A00000ABccwUAD;331.896.173;185872878.07;525.256.547;0.0;187.148.972;5.0;Fundo Multimercado
