,label_cli,ProdutoId,Unnamed: 0,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
50,5,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
51,6,a0W3u000009PDqBEAW,17,20.0,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,360.0,1000.0,1.0,96.0,0.0,CDI,0.1457,0.4956,4
52,0,a0W3u000009PDqGEAW,18,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,542.0,1000.0,2.0,97.0,0.0,CDI,0.1457,0.4956,4
53,2,a0W3u000009PDqGEAW,18,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,542.0,1000.0,2.0,97.0,0.0,CDI,0.1457,0.4956,4
54,3,a0W3u000009PDqGEAW,18,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,542.0,1000.0,2.0,97.0,0.0,CDI,0.1457,0.4956,4
55,4,a0W3u000009PDqGEAW,18,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,542.0,1000.0,2.0,97.0,0.0,CDI,0.1457,0.4956,4
56,0,a0W3u000009PDqLEAW,19,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,720.0,1000.0,2.0,98.0,0.0,CDI,0.1457,0.4956,4
57,2,a0W3u000009PDqLEAW,19,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,720.0,1000.0,2.0,98.0,0.0,CDI,0.1457,0.4956,4
58,6,a0W3u000009PDqLEAW,19,17.5,No venc.,BANCO BTG PACTUAL S.A.,LCI POS,720.0,1000.0,2.0,98.0,0.0,CDI,0.1457,0.4956,4
59,0,a0W3u000009PDyUEAW,24,22.5,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,90.0,1000.0,5.0,110.0,0.0,CDI,0.0322,0.2625,2
60,2,a0W3u000009PDyUEAW,24,22.5,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,90.0,1000.0,5.0,110.0,0.0,CDI,0.0322,0.2625,2
61,4,a0W3u000009PDyUEAW,24,22.5,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,90.0,1000.0,5.0,110.0,0.0,CDI,0.0322,0.2625,2
62,5,a0W3u000009PDyUEAW,24,22.5,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,90.0,1000.0,5.0,110.0,0.0,CDI,0.0322,0.2625,2
63,6,a0W3u000009PDyUEAW,24,22.5,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,90.0,1000.0,5.0,110.0,0.0,CDI,0.0322,0.2625,2
64,0,a0W3u000009PDzDEAW,25,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,1081.0,1000.0,5.0,132.0,0.0,CDI,0.0322,0.2625,2
