,label_cli,ProdutoId,Unnamed: 0,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
49,0,a0W3u000009PE9IEAW,17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
50,2,a0W3u000009PE9IEAW,17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
51,3,a0W3u000009PE9IEAW,17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
52,4,a0W3u000009PE9IEAW,17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
53,5,a0W3u000009PE9IEAW,17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
54,6,a0W3u000009PE9IEAW,17,20% sobre o que exceder a 100% do IMAB,Come Cotas,Renda Fixa,50000.0,19601204.0,13368479814.0,56040298.0,5263201052.0,36367809.0,3.0,FIC de Fundo de Renda Fixa,1
55,0,a0W3u00000AdCRlEAN,19,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,100000.0,-3795336.0,5369869719.0,246415068.0,13829935703.0,250305403.0,5.0,FIC de Fundo de Ações,0
56,2,a0W3u00000AdCRlEAN,19,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,100000.0,-3795336.0,5369869719.0,246415068.0,13829935703.0,250305403.0,5.0,FIC de Fundo de Ações,0
57,3,a0W3u00000AdCRlEAN,19,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,100000.0,-3795336.0,5369869719.0,246415068.0,13829935703.0,250305403.0,5.0,FIC de Fundo de Ações,0
58,5,a0W3u00000AdCRlEAN,19,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,100000.0,-3795336.0,5369869719.0,246415068.0,13829935703.0,250305403.0,5.0,FIC de Fundo de Ações,0
59,6,a0W3u00000AdCRlEAN,19,20% sobre o que exceder a 100% do CDI,15%,Renda Variável,100000.0,-3795336.0,5369869719.0,246415068.0,13829935703.0,250305403.0,5.0,FIC de Fundo de Ações,0
60,0,a0W3u00000AdDtWEAV,26,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,77417819.0,6819272828.0,193662524.0,9270198333.0,115351678.0,5.0,FIC de Fundo de Ações,0
