,DescricaoTaxaPerformance__c,DescricaoTributacao__c,FamiliaCarteira__c,FiltroValorMinimo__c,ProdutoId,LucroMesAnterior__c,PatrimonioLiquidoAtual__c,RentabilidadeAno__c,RentabilidadeFundoUltimos36Meses__c,RentabilidadeMes__c,RiscoAtivo__c,TipoCarteira__c,label
35,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdFiHEAV,-230028801.0,25549213250908.0,-157132675.0,2615467138.0,74612426.0,4.0,FIC de Fundo Multimercado,1
36,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdFiREAV,-406629.0,47797761601.0,18441288.0,2388155912.0,18848683.0,3.0,FIC de Fundo Multimercado,1
37,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdFwxEAF,68441006.0,6404199623059.0,3.0815622e+16,71402509.0,238085732.0,5.0,FIC de Fundo de Ações,3
38,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,a0W3u00000AdFxlEAF,178541155.0,17952956685.0,432504944.0,1225728064.0,249509026.0,5.0,Fundo de Ações,0
39,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdGFTEA3,93394023.0,22802074556.0,109718568.0,279326729.0,16173494.0,3.0,FIC de Fundo Multimercado,1
40,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdGFdEAN,46466868.0,19079474912.0,55202555.0,2734905951.0,8695283.0,2.0,FIC de Fundo de Renda Fixa,1
41,Não,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGGREA3,41322378.0,41030370219.0,41280307.0,2382085079.0,-41898.0,4.0,Fundo de Renda Fixa,1
42,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,10000.0,a0W3u00000AdGGqEAN,90011608.0,10679498852.0,282804536.0,9775060498.0,191073048.0,5.0,FIC de Fundo de Ações,0
43,Não,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGTbEAN,52222803.0,18233551788.0,62373027.0,3624016731.0,10097492.0,4.0,FIC de Fundo de Renda Fixa,1
44,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdGbzEAF,50208478.0,28283913063.0,55153547.0,246217581.0,4920365.0,2.0,Fundo de Renda Fixa,1
45,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGc4EAF,-5959455.0,9154374395.0,16018463.0,2691527322.0,21991024.0,3.0,Fundo Multimercado,1
46,20% sobre o que exceder a 100% do IBRX 100,15%,Renda Variável,200000.0,a0W3u00000AdGc9EAF,-154717368.0,21343837936.0,15152387.0,8289534028.0,172539237.0,5.0,Fundo de Ações,2
47,20% sobre o que exceder a 100% do IRFM + 1,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGcxEAF,125760148.0,37997848975.0,168296021.0,530700181.0,42007585.0,4.0,Fundo de Renda Fixa,1
48,Não,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGdCEAV,-2601701.0,66474822496.0,50665849.0,6067247921.0,53281413.0,5.0,FIC de Fundo de Renda Fixa,0
49,20% sobre o que exceder a 100% do IMAB-5,Come Cotas,Renda Fixa,5000.0,a0W3u00000AdGdREAV,94918651.0,53387371651.0,107003106.0,4066620578.0,1197083.0,5.0,Fundo de Renda Fixa,0
50,20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5,15%,Renda Variável,200000.0,a0W3u00000AdGe0EAF,563031375.0,32508234231005.0,714071742.0,0.0,142989604.0,5.0,FIC de Fundo de Ações,2
51,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,200000.0,a0W3u00000AdGgBEAV,-133214624.0,108414836174.0,-98123235.0,0.0,3556517.0,4.0,FIC de Fundo Multimercado,2
52,Não,15%,Renda Variável,200000.0,a0W3u00000AdGgQEAV,501527319.0,35022370101.0,756650669.0,0.0,242939281.0,5.0,FIC de Fundo de Ações,2
53,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGoWEAV,43405702.0,221411946823.0,46518546.0,2482830471.0,309939.0,4.0,FIC de Fundo de Renda Fixa,1
54,Não,Come Cotas,Renda Fixa,10000.0,a0W3u00000AdGobEAF,33023424.0,6089581463.0,37466195.0,2176327187.0,4428148.0,3.0,FIC de Fundo de Renda Fixa,1
55,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGogEAF,50522677.0,3519319404.0,5426141999999990.0,0.0,3719948.0,4.0,FIC de Fundo de Renda Fixa,1
56,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGp5EAF,64258343.0,3519645391.0,68700671.0,0.0,4413965.0,4.0,FIC de Fundo de Renda Fixa,1
57,20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGuAEAV,-498427728.0,9701599592.0,-252671545.0,0.0,258647912.0,5.0,FIC de Fundo Multimercado,0
58,20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGvIEAV,-24061239.0,2933239018.0,-195563769.0,0.0,4.61592699999999e+16,5.0,FIC de Fundo Multimercado,0
59,15% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGwLEAV,337390134.0,99195369293.0,465333596.0,-1040077939.0,123767663.0,4.0,FIC de Fundo Multimercado,1
60,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGwVEAV,-159579646.0,76339022204.0,-105702173.0,3433072977.0,5475119.0,4.0,FIC de Fundo Multimercado,1
61,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdGwkEAF,-101533415.0,28219606716.0,-64547055.0,2862469769.0,37365747.0,4.0,FIC de Fundo Multimercado,1
62,Não,15%,Renda Variável,50000.0,a0W3u00000AdGx9EAF,-112676362.0,1894237880.0,67543388.0,8471418398.0,182273542.0,5.0,FIC de Fundo de Ações,0
63,15% sobre o que exceder a 100% do IMA-G,15%,Renda Variável,50000.0,a0W3u00000AdGxEEAV,63540425.0,20984927714.0,232946628.0,9793654554.0,168336585.0,5.0,FIC de Fundo de Ações,0
64,10% sobre o que exceder a 100% do IPCA + YIELD do IMA-B5,15%,Renda Variável,50000.0,a0W3u00000AdGztEAF,88889351.0,11395182083.0,32171377.0,9440190761.0,230773091.0,5.0,FIC de Fundo de Ações,0
65,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdH5SEAV,47931808.0,9067646711.0,273762591.0,9897049768.0,2247535.0,5.0,FIC de Fundo de Ações,0
66,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,100000.0,a0W3u00000AdH6BEAV,-248062827.0,2239376312.0,-37750873.0,0.0,215661719.0,5.0,FIC de Fundo de Ações,0
67,20% sobre o que exceder a 100% do IBOVESPA,15%,Renda Variável,50000.0,a0W3u00000AdHICEA3,139746.0,8048192350036.0,20062869.0,0.0,200486142.0,5.0,FIC de Fundo de Ações,0
68,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdHIMEA3,47725103.0,4545143253.0,59046579.0,0.0,11267701.0,4.0,FIC de Fundo Multimercado,1
69,20% sobre o que exceder a 100% do IPCA + YIELD do IMA-B,Come Cotas,Renda Fixa,100000.0,a0W3u00000AdHIREA3,190361423.0,73807222.0,305124918.0,0.0,112619652.0,5.0,FIC de Fundo Multimercado,0
70,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdHIgEAN,-51081827.0,8807183811.0,-76873188.0,227262715.0,-25923784.0,4.0,FIC de Fundo Multimercado,1
71,20% sobre o que exceder a 100% do CDI,Come Cotas,Renda Fixa,50000.0,a0W3u00000AdHJtEAN,74429377.0,3132266983.0,-64980778.0,2313814782.0,-1383802.0,4.0,FIC de Fundo Multimercado,1
