,DescontoIR__c,DescricaoCarencia__c,DescricaoEmissor__c,DescricaoProduto__c,DiasVencimento__c,FiltroValorMinimo__c,ProdutoId,RiscoAtivo__c,TaxaEmissao__c,TaxaPreEmissao__c,TipoIndexador__c,Indice_Basileia,Indice_Imobilizacao,label
104,17.5,No venc.,BANCO BOCOM BBM S/A,CDB POS,361.0,10000.0,a0W3u00000CWOdZEAX,2.0,108.0,0.0,CDI,0.1581,0.0134,1
105,20.0,No venc.,BANCO BOCOM BBM S/A,LCA POS,185.0,10000.0,a0W3u00000CWOdeEAH,1.0,98.0,0.0,CDI,0.1581,0.0134,1
106,17.5,No venc.,BANCO BOCOM BBM S/A,LCA POS,364.0,10000.0,a0W3u00000CWOdjEAH,2.0,100.0,0.0,CDI,0.1581,0.0134,1
107,15.0,No venc.,BANCO BOCOM BBM S/A,LCA POS,731.0,10000.0,a0W3u00000CWOdoEAH,2.0,101.0,0.0,CDI,0.1581,0.0134,1
108,15.0,No venc.,BANCO BOCOM BBM S/A,LCA POS,1081.0,10000.0,a0W3u00000CWOdtEAH,2.0,102.0,0.0,CDI,0.1581,0.0134,1
109,15.0,No venc.,BANCO AGIBANK S.A.,CDB POS,1081.0,1000.0,a0W3u00000CWOkkEAH,3.0,100.0,1.42,,0.1333,0.051,0
110,15.0,No venc.,BANCO AGIBANK S.A.,CDB POS,1442.0,1000.0,a0W3u00000CWOkuEAH,3.0,100.0,1.59,,0.1333,0.051,0
111,17.5,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,361.0,1000.0,a0W3u00000CWOn0EAH,5.0,140.0,0.0,CDI,0.0322,0.2625,2
112,15.0,No venc.,BANCO MÁXIMA S.A.,CDB POS 1,721.0,1000.0,a0W3u00000CWOn5EAH,5.0,140.0,0.0,CDI,0.0322,0.2625,2
113,17.5,No venc.,AGORACRED S.A.,LC POS,361.0,10000.0,a0W3u00000CWOw9EAH,5.0,114.0,0.0,CDI,0.0,0.0,2
114,15.0,No venc.,AGORACRED S.A.,LC POS,721.0,10000.0,a0W3u00000CWOwEEAX,5.0,127.0,0.0,CDI,0.0,0.0,2
115,15.0,No venc.,AGORACRED S.A.,LC POS,1081.0,10000.0,a0W3u00000CWOwFEAX,5.0,130.0,0.0,CDI,0.0,0.0,3
116,15.0,No venc.,AGORACRED S.A.,LC POS,1440.0,10000.0,a0W3u00000CWOwJEAX,5.0,131.0,0.0,CDI,0.0,0.0,3
117,15.0,No venc.,AGORACRED S.A.,LC POS,1802.0,10000.0,a0W3u00000CWOwOEAX,5.0,132.0,0.0,CDI,0.0,0.0,3
118,17.5,No venc.,BANCO C6 S.A.,CDB POS,361.0,1000.0,a0W3u00000CWP3eEAH,3.0,116.0,0.0,CDI,0.1853,0.2258,4
119,15.0,No venc.,BANCO C6 S.A.,CDB POS,721.0,1000.0,a0W3u00000CWP3oEAH,4.0,123.0,0.0,CDI,0.1853,0.2258,2
120,15.0,No venc.,BANCO C6 S.A.,CDB POS,1081.0,1000.0,a0W3u00000CWP3yEAH,4.0,126.0,0.0,CDI,0.1853,0.2258,2
121,15.0,No venc.,BANCO C6 S.A.,CDB POS,1440.0,1000.0,a0W3u00000CWP43EAH,4.0,128.0,0.0,CDI,0.1853,0.2258,3
122,15.0,No venc.,BANCO C6 S.A.,CDB POS,1802.0,1000.0,a0W3u00000CWP48EAH,4.0,129.0,0.0,CDI,0.1853,0.2258,3
123,15.0,No venc.,BANCO ABC BRASIL,LCA PRE,1460.0,10000.0,a0W3u00000CWPBTEA5,3.0,0.0,5.9,Pré fixado,0.1741,0.0053,0
124,15.0,No venc.,BANCO BMG S.A.,CDB PRE 1,1440.0,1000.0,a0W3u00000CWPBnEAP,4.0,0.0,7.36,Pré fixado,0.138,0.1906,3
125,15.0,No venc.,BANCO AGIBANK S.A.,CDB POS,721.0,1000.0,a0W3u00000CWPCbEAP,2.0,125.0,0.0,CDI,0.1333,0.051,4
126,15.0,No venc.,BANCO AGIBANK S.A.,CDB POS,1081.0,1000.0,a0W3u00000CWPCgEAP,3.0,128.0,0.0,CDI,0.1333,0.051,0
