"ProdutoId";"TipoCarteira__c";"NomeInvestimento__c"
a0W3u000009PDahEAG;"";LCA
a0W3u000009PDamEAG;"";CDB
a0W3u000009PDarEAG;"";CDB
a0W3u000009PDawEAG;"";CDB
a0W3u000009PDb1EAG;"";CDB
a0W3u000009PDb6EAG;"";CDB
a0W3u000009PDbBEAW;"";LCA
a0W3u000009PDbGEAW;"";CDB
a0W3u000009PDbLEAW;"";CDB
a0W3u000009PDbQEAW;"";CDB
a0W3u000009PDbVEAW;"";CDB
a0W3u000009PDbaEAG;"";CDB
a0W3u000009PDbfEAG;"";LCI
a0W3u000009PDbkEAG;"";LCI
a0W3u000009PDbpEAG;"";LCI
a0W3u000009PDbuEAG;"";CDB
a0W3u000009PDbzEAG;"";CDB
a0W3u000009PDc4EAG;"";CDB
a0W3u000009PDc9EAG;"";CDB
a0W3u000009PDcEEAW;"";CDB
a0W3u000009PDcJEAW;"";CDB
a0W3u000009PDcOEAW;"";CDB
a0W3u000009PDcTEAW;"";CDB
a0W3u000009PDcYEAW;"";CDB
a0W3u000009PDcdEAG;"";CDB
a0W3u000009PDciEAG;"";CDB
a0W3u000009PDcnEAG;"";CDB
a0W3u000009PDcsEAG;"";CDB
a0W3u000009PDcxEAG;"";CDB
a0W3u000009PDd2EAG;"";CDB
a0W3u000009PDd7EAG;"";CDB
a0W3u000009PDdCEAW;"";CDB
a0W3u000009PDdMEAW;"";CDB
a0W3u000009PDdREAW;"";CDB
a0W3u000009PDdWEAW;"";CDB
a0W3u000009PDdbEAG;"";CDB
a0W3u000009PDdgEAG;"";CDB
a0W3u000009PDdlEAG;"";LCI
a0W3u000009PDdqEAG;"";LCI
a0W3u000009PDe5EAG;"";CDB
a0W3u000009PDeAEAW;"";CDB
a0W3u000009PDeFEAW;"";CDB
a0W3u000009PDeKEAW;"";CDB
a0W3u000009PDePEAW;"";CDB
a0W3u000009PDeUEAW;"";LCA
a0W3u000009PDeZEAW;"";LCA
a0W3u000009PDeeEAG;"";LCA
a0W3u000009PDejEAG;"";LCA
a0W3u000009PDgBEAW;"";CDB
a0W3u000009PDgGEAW;"";CDB
a0W3u000009PDnMEAW;"";CDB
a0W3u000009PDnREAW;"";CDB
a0W3u000009PDnWEAW;"";CDB
a0W3u000009PDnbEAG;"";CDB
a0W3u000009PDngEAG;"";CDB
a0W3u000009PDnlEAG;"";CDB
a0W3u000009PDnqEAG;"";CDB
a0W3u000009PDnvEAG;"";CDB
a0W3u000009PDo0EAG;"";CDB
a0W3u000009PDo5EAG;"";CDB
a0W3u000009PDoAEAW;"";CDB
a0W3u000009PDoFEAW;"";CDB
a0W3u000009PDoKEAW;"";CDB
a0W3u000009PDoPEAW;"";CDB
a0W3u000009PDoUEAW;"";CDB
a0W3u000009PDoZEAW;"";CDB
a0W3u000009PDoeEAG;"";CDB
a0W3u000009PDojEAG;"";CDB
a0W3u000009PDooEAG;"";CDB
a0W3u000009PDotEAG;"";CDB
a0W3u000009PDoyEAG;"";CDB
a0W3u000009PDp3EAG;"";CDB
a0W3u000009PDp8EAG;"";CDB
a0W3u000009PDpDEAW;"";CDB
a0W3u000009PDpIEAW;"";CDB
a0W3u000009PDpNEAW;"";CDB
a0W3u000009PDpSEAW;"";CDB
a0W3u000009PDpXEAW;"";CDB
a0W3u000009PDphEAG;"";LCI
a0W3u000009PDpmEAG;"";LCI
a0W3u000009PDprEAG;"";CDB
a0W3u000009PDpwEAG;"";CDB
a0W3u000009PDq1EAG;"";LCI
a0W3u000009PDq6EAG;"";LCI
a0W3u000009PDqBEAW;"";LCI
a0W3u000009PDqGEAW;"";LCI
a0W3u000009PDqLEAW;"";LCI
a0W3u000009PDqQEAW;"";LCI
a0W3u000009PDqVEAW;"";LCI
a0W3u000009PDqfEAG;"";CDB
a0W3u000009PDqkEAG;"";CDB
a0W3u000009PDquEAG;"";CDB
a0W3u000009PDqzEAG;"";CDB
a0W3u000009PDr4EAG;"";CDB
a0W3u000009PDr9EAG;"";CDB
a0W3u000009PDrEEAW;"";CDB
a0W3u000009PDrJEAW;"";CDB
a0W3u000009PDrOEAW;"";CDB
a0W3u000009PDsgEAG;FIC de Fundo Multimercado;KAPITALO ALPHA GLOBAL FIC FIM
a0W3u000009PDsqEAG;FIC de Fundo Multimercado;KAPITALO KAPPA D FIC FIM
a0W3u000009PDt5EAG;FIC de Fundo de Ações;KAPITALO TARKUS FIC FIA
